cenario,linha_desligada,from_bus_linha,to_bus_linha,barra_impactada,diferenca_tensao_pu,tensao_antes_pu,tensao_depois_pu
0.0,0.0,0.0,1.0,7,0.00028645830179596654,0.9576555555986516,0.9579420139004475
0.0,0.0,0.0,1.0,5,0.00028590917714332864,0.9705902194255033,0.9708761286026466
0.0,0.0,0.0,1.0,27,0.00026575547763540985,0.9722319272090111,0.9724976826866465
0.0,0.0,0.0,1.0,6,0.00019154033689638972,0.9646009349825583,0.9647924753194547
0.0,0.0,0.0,1.0,2,0.00018238873784481857,0.9813504368589504,0.9811680481211056
0.0,0.0,0.0,1.0,11,0.0001390637790394944,0.9848775254988246,0.9850165892778641
0.0,0.0,0.0,1.0,3,0.00013784345105105622,0.9779674232069707,0.9781052666580218
0.0,0.0,0.0,1.0,13,0.00013044265848460856,0.9761621152002475,0.9762925578587321
0.0,0.0,0.0,1.0,10,0.00011128472364074771,0.9773644975561867,0.9774757822798275
0.0,0.0,0.0,1.0,8,0.00011128472364074771,0.9773644975561867,0.9774757822798275
0.0,1.0,0.0,2.0,2,0.01102369042601059,0.9813504368589504,0.9703267464329398
0.0,1.0,0.0,2.0,3,0.006888612657956483,0.9779674232069707,0.9710788105490142
0.0,1.0,0.0,2.0,5,0.004761630444847564,0.9705902194255033,0.9658285889806557
0.0,1.0,0.0,2.0,7,0.004750622022068218,0.9576555555986516,0.9529049335765833
0.0,1.0,0.0,2.0,27,0.004282655668620294,0.9722319272090111,0.9679492715403908
0.0,1.0,0.0,2.0,6,0.00382507230588236,0.9646009349825583,0.9607758626766759
0.0,1.0,0.0,2.0,10,0.0023363430705650723,0.9773644975561867,0.9750281544856216
0.0,1.0,0.0,2.0,8,0.0023363430705650723,0.9773644975561867,0.9750281544856216
0.0,1.0,0.0,2.0,4,0.002141706242339003,0.9802094917780941,0.9780677855357551
0.0,1.0,0.0,2.0,11,0.0018818127028384923,0.9848775254988246,0.9829957127959861
0.0,2.0,1.0,3.0,3,0.00765425121327179,0.9779674232069707,0.9703131719936989
0.0,2.0,1.0,3.0,2,0.0064419317733104275,0.9813504368589504,0.97490850508564
0.0,2.0,1.0,3.0,5,0.005350615206100251,0.9705902194255033,0.965239604219403
0.0,2.0,1.0,3.0,7,0.00533860235385597,0.9576555555986516,0.9523169532447956
0.0,2.0,1.0,3.0,27,0.00481454484564281,0.9722319272090111,0.9674173823633683
0.0,2.0,1.0,3.0,6,0.004296771079630557,0.9646009349825583,0.9603041639029277
0.0,2.0,1.0,3.0,10,0.0026180732567205878,0.9773644975561867,0.9747464242994661
0.0,2.0,1.0,3.0,8,0.0026180732567205878,0.9773644975561867,0.9747464242994661
0.0,2.0,1.0,3.0,4,0.002368407669652184,0.9802094917780941,0.977841084108442
0.0,2.0,1.0,3.0,11,0.0021167162742513623,0.9848775254988246,0.9827608092245732
0.0,3.0,2.0,3.0,2,0.017004752496244335,0.9813504368589504,0.9983551893551947
0.0,3.0,2.0,3.0,3,0.005655817500796245,0.9779674232069707,0.9723116057061745
0.0,3.0,2.0,3.0,5,0.003915897322188777,0.9705902194255033,0.9666743221033145
0.0,3.0,2.0,3.0,7,0.003906837176512079,0.9576555555986516,0.9537487184221395
0.0,3.0,2.0,3.0,27,0.0035223034252482854,0.9722319272090111,0.9687096237837628
0.0,3.0,2.0,3.0,6,0.0031435776206654165,0.9646009349825583,0.9614573573618929
0.0,3.0,2.0,3.0,10,0.0019202621835802125,0.9773644975561867,0.9754442353726065
0.0,3.0,2.0,3.0,8,0.0019202621835802125,0.9773644975561867,0.9754442353726065
0.0,3.0,2.0,3.0,4,0.0017522857794217694,0.9802094917780941,0.9784572059986724
0.0,3.0,2.0,3.0,11,0.0015489175678949918,0.9848775254988246,0.9833286079309296
0.0,4.0,1.0,4.0,4,0.030604158781617707,0.9802094917780941,0.9496053329964764
0.0,4.0,1.0,4.0,6,0.015778224383817596,0.9646009349825583,0.9488227105987407
0.0,4.0,1.0,4.0,5,0.00604862408160034,0.9705902194255033,0.9645415953439029
0.0,4.0,1.0,4.0,7,0.006031147744891552,0.9576555555986516,0.95162440785376
0.0,4.0,1.0,4.0,27,0.005414994433279197,0.9722319272090111,0.9668169327757319
0.0,4.0,1.0,4.0,3,0.004250674674186383,0.9779674232069707,0.9737167485327843
0.0,4.0,1.0,4.0,2,0.003566290810845474,0.9813504368589504,0.9777841460481049
0.0,4.0,1.0,4.0,10,0.002951530258049395,0.9773644975561867,0.9744129672981373
0.0,4.0,1.0,4.0,8,0.002951530258049395,0.9773644975561867,0.9744129672981373
0.0,4.0,1.0,4.0,9,0.0013342235987328088,0.9809927140702321,0.9796584904714993
0.0,5.0,1.0,5.0,5,0.00988783104692692,0.9705902194255033,0.9607023883785764
0.0,5.0,1.0,5.0,7,0.009859309766457658,0.9576555555986516,0.9477962458321939
0.0,5.0,1.0,5.0,27,0.008848264849571796,0.9722319272090111,0.9633836623594393
0.0,5.0,1.0,5.0,6,0.007965296379130016,0.9646009349825583,0.9566356386034283
0.0,5.0,1.0,5.0,3,0.00706337970411719,0.9779674232069707,0.9709040435028535
0.0,5.0,1.0,5.0,2,0.005949570625988776,0.9813504368589504,0.9754008662329616
0.0,5.0,1.0,5.0,10,0.004837833200322494,0.9773644975561867,0.9725266643558642
0.0,5.0,1.0,5.0,8,0.004837833200322494,0.9773644975561867,0.9725266643558642
0.0,5.0,1.0,5.0,4,0.004459595944336869,0.9802094917780941,0.9757498958337573
0.0,5.0,1.0,5.0,9,0.0022026243957409264,0.9809927140702321,0.9787900896744912
0.0,6.0,3.0,5.0,3,0.014410923600347236,0.9779674232069707,0.992378346807318
0.0,6.0,3.0,5.0,5,0.014073186453026021,0.9705902194255033,0.9565170329724773
0.0,6.0,3.0,5.0,7,0.01401714355003325,0.9576555555986516,0.9436384120486183
0.0,6.0,3.0,5.0,27,0.012479272935680186,0.9722319272090111,0.9597526542733309
0.0,6.0,3.0,5.0,2,0.01199539359562063,0.9813504368589504,0.993345830454571
0.0,6.0,3.0,5.0,6,0.011352358765747805,0.9646009349825583,0.9532485762168105
0.0,6.0,3.0,5.0,10,0.006762998946272303,0.9773644975561867,0.9706014986099144
0.0,6.0,3.0,5.0,8,0.006762998946272303,0.9773644975561867,0.9706014986099144
0.0,6.0,3.0,5.0,4,0.006574745914397551,0.9802094917780941,0.9736347458636966
0.0,6.0,3.0,5.0,11,0.004260750267535363,0.9848775254988246,0.9891382757663599
0.0,7.0,4.0,6.0,4,0.02070993772800689,0.9802094917780941,1.000919429506101
0.0,7.0,4.0,6.0,6,0.017281182069621592,0.9646009349825583,0.9473197529129367
0.0,7.0,4.0,6.0,5,0.006628226258833747,0.9705902194255033,0.9639619931666695
0.0,7.0,4.0,6.0,7,0.006609293671143046,0.9576555555986516,0.9510462619275085
0.0,7.0,4.0,6.0,27,0.005934990814908669,0.9722319272090111,0.9662969363941024
0.0,7.0,4.0,6.0,3,0.004631902299107038,0.9779674232069707,0.9733355209078637
0.0,7.0,4.0,6.0,2,0.003880993343244876,0.9813504368589504,0.9774694435157055
0.0,7.0,4.0,6.0,10,0.0032308488785008915,0.9773644975561867,0.9741336486776858
0.0,7.0,4.0,6.0,8,0.0032308488785008915,0.9773644975561867,0.9741336486776858
0.0,7.0,4.0,6.0,9,0.0014561405020490081,0.9809927140702321,0.9795365735681831
0.0,10.0,5.0,8.0,10,0.004269476766631142,0.9773644975561867,0.9816339743228178
0.0,10.0,5.0,8.0,8,0.004269476766631142,0.9773644975561867,0.9816339743228178
0.0,10.0,5.0,8.0,7,0.0013331006207313312,0.9576555555986516,0.9563224549779202
