cenario,linha_desligada,status,ilhamento,num_componentes_conectados,convergencia
0,0,normal,False,1.0,True
0,1,normal,False,1.0,True
0,2,normal,False,1.0,True
0,3,normal,False,1.0,True
0,4,normal,False,1.0,True
0,5,normal,False,1.0,True
0,6,normal,False,1.0,True
0,7,normal,False,1.0,True
0,8,crítica,False,1.0,True
0,9,crítica,False,1.0,True
0,10,normal,False,1.0,True
0,11,normal,False,1.0,True
0,12,ilhamento,True,,False
0,13,normal,False,1.0,True
0,14,normal,False,1.0,True
0,15,ilhamento,True,,False
0,16,normal,False,1.0,True
0,17,normal,False,1.0,True
0,18,normal,False,1.0,True
0,19,normal,False,1.0,True
0,20,normal,False,1.0,True
0,21,normal,False,1.0,True
0,22,normal,False,1.0,True
0,23,crítica,False,1.0,True
0,24,crítica,False,1.0,True
0,25,crítica,False,1.0,True
0,26,normal,False,1.0,True
0,27,crítica,False,1.0,True
0,28,normal,False,1.0,True
0,29,normal,False,1.0,True
0,30,normal,False,1.0,True
0,31,normal,False,1.0,True
0,32,normal,False,1.0,True
0,33,ilhamento,True,,False
0,34,normal,False,1.0,True
0,35,normal,False,1.0,True
0,36,crítica,False,1.0,True
0,37,crítica,False,1.0,True
0,38,normal,False,1.0,True
0,39,crítica,False,1.0,True
0,40,normal,False,1.0,True
1,0,normal,False,1.0,True
1,1,normal,False,1.0,True
1,2,normal,False,1.0,True
1,3,normal,False,1.0,True
1,4,normal,False,1.0,True
1,5,normal,False,1.0,True
1,6,normal,False,1.0,True
1,7,normal,False,1.0,True
1,8,normal,False,1.0,True
1,9,crítica,False,1.0,True
1,10,normal,False,1.0,True
1,11,normal,False,1.0,True
1,12,ilhamento,True,,False
1,13,normal,False,1.0,True
1,14,normal,False,1.0,True
1,15,ilhamento,True,,False
1,16,normal,False,1.0,True
1,17,normal,False,1.0,True
1,18,normal,False,1.0,True
1,19,normal,False,1.0,True
1,20,normal,False,1.0,True
1,21,normal,False,1.0,True
1,22,normal,False,1.0,True
1,23,crítica,False,1.0,True
1,24,crítica,False,1.0,True
1,25,crítica,False,1.0,True
1,26,normal,False,1.0,True
1,27,normal,False,1.0,True
1,28,normal,False,1.0,True
1,29,normal,False,1.0,True
1,30,normal,False,1.0,True
1,31,normal,False,1.0,True
1,32,normal,False,1.0,True
1,33,ilhamento,True,,False
1,34,normal,False,1.0,True
1,35,normal,False,1.0,True
1,36,crítica,False,1.0,True
1,37,crítica,False,1.0,True
1,38,normal,False,1.0,True
1,39,crítica,False,1.0,True
1,40,normal,False,1.0,True
